date,revenue,paid_orders,failed_orders,total_orders
2026-02-20,722.35,5,0,5
2026-02-21,45.06,2,0,2
2026-02-22,0.00,0,0,0
2026-02-23,0.00,0,0,0
2026-02-24,0.00,0,0,0
2026-02-25,0.00,0,0,0
2026-02-26,0.00,0,0,0
2026-02-27,0.00,0,0,0
2026-02-28,0.00,0,0,0
2026-03-01,0.00,0,0,0
2026-03-02,0.00,0,0,0
2026-03-03,0.00,0,0,0
2026-03-04,0.00,0,0,0
2026-03-05,0.00,0,0,0
2026-03-06,0.00,0,0,0
2026-03-07,0.00,0,0,0
2026-03-08,0.00,0,0,0
2026-03-09,0.00,0,0,0
2026-03-10,0.00,0,0,0
2026-03-11,0.00,0,0,0
2026-03-12,0.00,0,0,0
2026-03-13,0.00,0,0,0
2026-03-14,0.00,0,0,0
2026-03-15,0.00,0,0,0
2026-03-16,0.00,0,0,0
2026-03-17,0.00,0,0,0
2026-03-18,0.00,0,0,0
2026-03-19,0.00,0,0,0
2026-03-20,0.00,0,0,0
2026-03-21,0.00,0,0,0
2026-03-22,0.00,0,0,0
2026-03-23,0.00,0,0,0
2026-03-24,0.00,0,0,0
2026-03-25,0.00,0,0,0
2026-03-26,0.00,0,0,0
2026-03-27,0.00,0,0,0
2026-03-28,0.00,0,0,0
2026-03-29,0.00,0,0,0
2026-03-30,0.00,0,0,0
2026-03-31,0.00,0,0,0
2026-04-01,0.00,0,0,0
2026-04-02,0.00,0,0,0
2026-04-03,0.00,0,0,0
2026-04-04,0.00,0,0,0
2026-04-05,0.00,0,0,0
2026-04-06,0.00,0,0,0
2026-04-07,0.00,0,0,0
2026-04-08,0.00,0,0,0
2026-04-09,0.00,0,0,0
2026-04-10,0.00,0,0,0
2026-04-11,0.00,0,0,0
2026-04-12,0.00,0,0,0
2026-04-13,0.00,0,0,0
2026-04-14,0.00,0,0,0
2026-04-15,0.00,0,0,0
2026-04-16,0.00,0,0,0
2026-04-17,0.00,0,0,0
2026-04-18,0.00,0,0,0
2026-04-19,0.00,0,0,0
2026-04-20,0.00,0,0,0
2026-04-21,0.00,0,0,0
2026-04-22,0.00,0,0,0
2026-04-23,0.00,0,0,0
2026-04-24,0.00,0,0,0
2026-04-25,0.00,0,0,0
2026-04-26,0.00,0,0,0
2026-04-27,0.00,0,0,0
2026-04-28,0.00,0,0,0
2026-04-29,0.00,0,0,0
2026-04-30,0.00,0,0,0
2026-05-01,0.00,0,0,0
2026-05-02,1740.00,2,0,4
2026-05-03,0.00,0,0,0
2026-05-04,400.00,1,0,1
